time,hum_rh,temp
2024-11-10T19,20,12.1
2024-11-10T20,16,10.9
2024-11-10T21,10,10.1
2024-11-10T22,16,9.6
2024-11-10T23,16,9.2
2024-11-11T00,16,8.6
2024-11-11T01,16,8.3
2024-11-11T02,16,8.2
2024-11-11T03,16,8.1
2024-11-11T04,16,8.1
2024-11-11T05,16,8.1
2024-11-11T06,16,8.1
2024-11-11T07,16,8.1
2024-11-11T08,16,8.0
2024-11-11T09,16,8.2
2024-11-11T10,20,9.1
2024-11-11T11,25,11.5
2024-11-11T12,26,13.8
2024-11-11T13,27,16.0
2024-11-11T14,30,17.3
2024-11-11T15,30,17.9
2024-11-11T16,30,17.3
2024-11-11T17,30,16.3
2024-11-11T18,28,15.5
2024-11-11T19,29,14.9
2024-11-11T20,28,14.4
2024-11-11T21,27,14.1
2024-11-11T22,27,13.6
2024-11-11T23,28,13.2
2024-11-12T00,27,12.8
2024-11-12T01,28,12.2
2024-11-12T02,27,11.5
2024-11-12T03,27,10.6
2024-11-12T04,27,10.1
2024-11-12T05,26,9.6
2024-11-12T06,26,9.2
2024-11-12T07,27,10.2
2024-11-12T08,28,10.5
2024-11-12T09,34,16.1
2024-11-12T10,35,20.6
2024-11-12T11,35,22.0
2024-11-12T12,35,22.5
2024-11-12T13,34,22.8
2024-11-12T14,34,22.9
2024-11-12T15,33,22.8
2024-11-12T16,33,23.1
2024-11-12T17,32,22.9
2024-11-12T18,32,22.4
2024-11-12T19,32,22.1
2024-11-12T20,31,21.9
2024-11-12T21,31,21.6
2024-11-12T22,31,21.4
2024-11-12T23,30,21.2
2024-11-13T00,30,21.1
2024-11-13T01,30,20.8
2024-11-13T02,30,20.6
2024-11-13T03,30,20.4
2024-11-13T04,29,20.3
2024-11-13T05,29,20.1
2024-11-13T06,28,19.9
2024-11-13T07,27,19.6
2024-11-13T08,27,19.6
2024-11-13T09,27,20.0
2024-11-13T10,28,20.8
2024-11-13T11,28,21.3
2024-11-13T12,28,21.5
2024-11-13T13,28,21.6
2024-11-13T14,28,21.8
2024-11-13T15,27,22.1
2024-11-13T16,27,22.2
2024-11-13T17,26,22.1
2024-11-13T18,26,22.1
2024-11-13T19,26,22.1
2024-11-13T20,26,22.0
2024-11-13T21,25,21.9
2024-11-13T22,25,21.9
2024-11-13T23,25,21.8
2024-11-14T00,25,21.8
2024-11-14T01,24,21.8
2024-11-14T02,24,21.8
2024-11-14T03,24,21.8
2024-11-14T04,24,21.8
2024-11-14T05,22,21.8
2024-11-14T06,22,21.5
2024-11-14T07,22,21.3
2024-11-14T08,22,21.3
2024-11-14T09,22,21.4
2024-11-14T10,22,22.1
2024-11-14T11,21,22.6
2024-11-14T12,21,23.1
2024-11-14T13,20,23.4
2024-11-14T14,21,23.4
2024-11-14T15,21,23.5
2024-11-14T16,20,23.5
2024-11-14T17,16,23.5
2024-11-14T18,20,23.2
2024-11-14T19,16,23.2
2024-11-14T20,16,23.0
2024-11-14T21,16,23.0
2024-11-14T22,16,22.8
2024-11-14T23,16,22.9
2024-11-15T00,16,22.8
2024-11-15T01,12,22.8
2024-11-15T02,12,22.6
2024-11-15T03,10,22.6
2024-11-15T04,12,22.6
2024-11-15T05,12,22.5
2024-11-15T06,15,22.3
2024-11-15T07,15,22.1
2024-11-15T08,15,21.9
2024-11-15T09,15,21.9
2024-11-15T10,12,22.3
2024-11-15T11,12,22.9
2024-11-15T12,10,23.1
2024-11-15T13,12,23.3
2024-11-15T14,10,23.5
2024-11-15T15,10,23.8
2024-11-15T16,10,23.8
2024-11-15T17,10,23.6
2024-11-15T18,10,23.5
2024-11-15T19,10,23.3
2024-11-15T20,10,23.2
2024-11-15T21,10,23.1
2024-11-15T22,10,23.0
2024-11-15T23,10,22.9
2024-11-16T00,10,23.0
2024-11-16T01,10,23.0
2024-11-16T02,10,23.0
2024-11-16T03,10,23.1
2024-11-16T04,10,23.1
2024-11-16T05,10,23.1
2024-11-16T06,10,23.1
2024-11-16T07,10,23.1
2024-11-16T08,10,23.1
2024-11-16T09,10,23.1
2024-11-16T10,10,23.3
2024-11-16T11,10,23.6
2024-11-16T12,10,23.9
2024-11-16T13,10,24.1
2024-11-16T14,10,24.1
2024-11-16T15,10,24.1
2024-11-16T16,10,24.1
2024-11-16T17,10,24.1
2024-11-16T18,10,24.0
2024-11-16T19,10,23.9
2024-11-16T20,10,23.9
2024-11-16T21,10,23.8
2024-11-16T22,10,23.6
2024-11-16T23,10,23.6
2024-11-17T00,10,23.5
2024-11-17T01,10,23.3
2024-11-17T02,10,23.3
2024-11-17T03,10,23.1
2024-11-17T04,10,23.1
2024-11-17T05,10,23.0
2024-11-17T06,10,22.9
2024-11-17T07,10,22.8
2024-11-17T08,10,22.8
2024-11-17T09,10,22.8
2024-11-17T10,10,23.0
2024-11-17T11,10,23.3
2024-11-17T12,10,23.5
2024-11-17T13,10,23.6
2024-11-17T14,10,23.8
2024-11-17T15,10,23.9
2024-11-17T16,10,23.9
2024-11-17T17,10,23.9
2024-11-17T18,10,23.8
2024-11-17T19,10,23.5
2024-11-17T20,10,23.5
2024-11-17T21,10,23.4
2024-11-17T22,10,23.3
2024-11-17T23,10,23.3
2024-11-18T00,10,23.3
2024-11-18T01,10,23.4
